Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Agriculture,Beef,,20780,Albury,Riverina Murray,Regional,10050
2016,1,Agriculture,Dairy,,1350,Albury,Riverina Murray,Regional,10050
2016,1,Agriculture,Goat,,0,Albury,Riverina Murray,Regional,10050
2016,1,Agriculture,Other Livestock,,10,Albury,Riverina Murray,Regional,10050
2016,1,Agriculture,Poultry,,0,Albury,Riverina Murray,Regional,10050
2016,1,Agriculture,Sheep,,5700,Albury,Riverina Murray,Regional,10050
2016,1,Agriculture,Pig,,200,Albury,Riverina Murray,Regional,10050
2016,1,Agriculture,Crop,,740,Albury,Riverina Murray,Regional,10050
2017,1,Agriculture,Beef,,22200,Albury,Riverina Murray,Regional,10050
2017,1,Agriculture,Dairy,,1200,Albury,Riverina Murray,Regional,10050
2017,1,Agriculture,Goat,,0,Albury,Riverina Murray,Regional,10050
2017,1,Agriculture,Other Livestock,,10,Albury,Riverina Murray,Regional,10050
2017,1,Agriculture,Poultry,,0,Albury,Riverina Murray,Regional,10050
2017,1,Agriculture,Sheep,,5920,Albury,Riverina Murray,Regional,10050
2017,1,Agriculture,Pig,,210,Albury,Riverina Murray,Regional,10050
2017,1,Agriculture,Crop,,830,Albury,Riverina Murray,Regional,10050
2018,1,Agriculture,Beef,,19660,Albury,Riverina Murray,Regional,10050
2018,1,Agriculture,Dairy,,1260,Albury,Riverina Murray,Regional,10050
2018,1,Agriculture,Goat,,0,Albury,Riverina Murray,Regional,10050
2018,1,Agriculture,Other Livestock,,10,Albury,Riverina Murray,Regional,10050
2018,1,Agriculture,Poultry,,0,Albury,Riverina Murray,Regional,10050
2018,1,Agriculture,Sheep,,5570,Albury,Riverina Murray,Regional,10050
2018,1,Agriculture,Pig,,190,Albury,Riverina Murray,Regional,10050
2018,1,Agriculture,Crop,,640,Albury,Riverina Murray,Regional,10050
2019,1,Agriculture,Beef,,16850,Albury,Riverina Murray,Regional,10050
2019,1,Agriculture,Dairy,,1090,Albury,Riverina Murray,Regional,10050
2019,1,Agriculture,Goat,,0,Albury,Riverina Murray,Regional,10050
2019,1,Agriculture,Other Livestock,,10,Albury,Riverina Murray,Regional,10050
2019,1,Agriculture,Poultry,,0,Albury,Riverina Murray,Regional,10050
2019,1,Agriculture,Sheep,,5010,Albury,Riverina Murray,Regional,10050
2019,1,Agriculture,Pig,,180,Albury,Riverina Murray,Regional,10050
2019,1,Agriculture,Crop,,520,Albury,Riverina Murray,Regional,10050
2016,1,Agriculture,Beef,,352910,Armidale Regional,New England North West,Regional,10130
2016,1,Agriculture,Dairy,,6830,Armidale Regional,New England North West,Regional,10130
2016,1,Agriculture,Goat,,180,Armidale Regional,New England North West,Regional,10130
2016,1,Agriculture,Other Livestock,,1630,Armidale Regional,New England North West,Regional,10130
2016,1,Agriculture,Poultry,,10,Armidale Regional,New England North West,Regional,10130
2016,1,Agriculture,Sheep,,134830,Armidale Regional,New England North West,Regional,10130
2016,1,Agriculture,Pig,,330,Armidale Regional,New England North West,Regional,10130
2016,1,Agriculture,Crop,,22020,Armidale Regional,New England North West,Regional,10130
2017,1,Agriculture,Beef,,377090,Armidale Regional,New England North West,Regional,10130
2017,1,Agriculture,Dairy,,6100,Armidale Regional,New England North West,Regional,10130
2017,1,Agriculture,Goat,,180,Armidale Regional,New England North West,Regional,10130
2017,1,Agriculture,Other Livestock,,1630,Armidale Regional,New England North West,Regional,10130
2017,1,Agriculture,Poultry,,10,Armidale Regional,New England North West,Regional,10130
2017,1,Agriculture,Sheep,,140080,Armidale Regional,New England North West,Regional,10130
2017,1,Agriculture,Pig,,340,Armidale Regional,New England North West,Regional,10130
2017,1,Agriculture,Crop,,25490,Armidale Regional,New England North West,Regional,10130
2018,1,Agriculture,Beef,,334020,Armidale Regional,New England North West,Regional,10130
2018,1,Agriculture,Dairy,,6380,Armidale Regional,New England North West,Regional,10130
2018,1,Agriculture,Goat,,180,Armidale Regional,New England North West,Regional,10130
2018,1,Agriculture,Other Livestock,,1630,Armidale Regional,New England North West,Regional,10130
2018,1,Agriculture,Poultry,,10,Armidale Regional,New England North West,Regional,10130
2018,1,Agriculture,Sheep,,131760,Armidale Regional,New England North West,Regional,10130
2018,1,Agriculture,Pig,,310,Armidale Regional,New England North West,Regional,10130
