Year,ScopeID,Sector,SubSector1,SubSector2,Emissions_tonnes_CO2-e,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Electricity Generation,,,13308,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,Electricity Generation,,,5664,Blacktown,Central River City,Six Cities,10750
2016,1,Electricity Generation,,,0,Broken Hill,Far West,Regional,11250
2016,1,Electricity Generation,,,1169,Camden,Western Parkland City,Six Cities,11450
2016,1,Electricity Generation,,,6508623,Central Coast,Central Coast City,Six Cities,11650
2016,1,Electricity Generation,,,458970,Cumberland,Central River City,Six Cities,12380
2016,1,Electricity Generation,,,12911232,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2016,1,Electricity Generation,,,6320482,Lithgow,Central West and Orana,Regional,14870
2016,1,Electricity Generation,,,23492491,Muswellbrook,Upper Hunter,Regional,15650
2016,1,Electricity Generation,,,47707,Narrabri,New England North West,Regional,15750
2016,1,Electricity Generation,,,3849,North Sydney,Eastern Harbour City,Six Cities,15950
2016,1,Electricity Generation,,,1491,Northern Beaches,Eastern Harbour City,Six Cities,15990
2016,1,Electricity Generation,,,685,Penrith,Western Parkland City,Six Cities,16350
2016,1,Electricity Generation,,,2092,Randwick,Eastern Harbour City,Six Cities,16550
2016,1,Electricity Generation,,,7213,Richmond Valley,North Coast,Regional,16610
2016,1,Electricity Generation,,,347,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2016,1,Electricity Generation,,,50490,Singleton,Upper Hunter,Regional,17000
2016,1,Electricity Generation,,,167,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2016,1,Electricity Generation,,,9764,Sutherland Shire,Central River City,Six Cities,17150
2016,1,Electricity Generation,,,3776,Sydney,Eastern Harbour City,Six Cities,17200
2016,1,Electricity Generation,,,3695,Tweed,North Coast,Regional,17550
2016,1,Electricity Generation,,,474537,Wagga Wagga,Riverina Murray,Regional,17750
2016,1,Electricity Generation,,,308680,Wollondilly,Western Parkland City,Six Cities,18400
2016,1,Electricity Generation,,,689588,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2017,1,Electricity Generation,,,15415,Bayside,Eastern Harbour City,Six Cities,10500
2017,1,Electricity Generation,,,5529,Blacktown,Central River City,Six Cities,10750
2017,1,Electricity Generation,,,0,Broken Hill,Far West,Regional,11250
2017,1,Electricity Generation,,,1085,Camden,Western Parkland City,Six Cities,11450
2017,1,Electricity Generation,,,6912022,Central Coast,Central Coast City,Six Cities,11650
2017,1,Electricity Generation,,,462463,Cumberland,Central River City,Six Cities,12380
2017,1,Electricity Generation,,,12893732,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2017,1,Electricity Generation,,,6573668,Lithgow,Central West and Orana,Regional,14870
2017,1,Electricity Generation,,,22958849,Muswellbrook,Upper Hunter,Regional,15650
2017,1,Electricity Generation,,,49675,Narrabri,New England North West,Regional,15750
2017,1,Electricity Generation,,,3454,North Sydney,Eastern Harbour City,Six Cities,15950
2017,1,Electricity Generation,,,1377,Northern Beaches,Eastern Harbour City,Six Cities,15990
2017,1,Electricity Generation,,,1254,Penrith,Western Parkland City,Six Cities,16350
2017,1,Electricity Generation,,,1458,Randwick,Eastern Harbour City,Six Cities,16550
2017,1,Electricity Generation,,,5273,Richmond Valley,North Coast,Regional,16610
2017,1,Electricity Generation,,,324,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2017,1,Electricity Generation,,,40667,Singleton,Upper Hunter,Regional,17000
2017,1,Electricity Generation,,,483,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2017,1,Electricity Generation,,,9469,Sutherland Shire,Central River City,Six Cities,17150
2017,1,Electricity Generation,,,6029,Sydney,Eastern Harbour City,Six Cities,17200
2017,1,Electricity Generation,,,7049,Tweed,North Coast,Regional,17550
2017,1,Electricity Generation,,,388225,Wagga Wagga,Riverina Murray,Regional,17750
2017,1,Electricity Generation,,,249702,Wollondilly,Western Parkland City,Six Cities,18400
2017,1,Electricity Generation,,,309180,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2018,1,Electricity Generation,,,15276,Bayside,Eastern Harbour City,Six Cities,10500
2018,1,Electricity Generation,,,5056,Blacktown,Central River City,Six Cities,10750
2018,1,Electricity Generation,,,433,Broken Hill,Far West,Regional,11250
2018,1,Electricity Generation,,,1035,Camden,Western Parkland City,Six Cities,11450
2018,1,Electricity Generation,,,6974661,Central Coast,Central Coast City,Six Cities,11650
2018,1,Electricity Generation,,,38372,Cumberland,Central River City,Six Cities,12380
2018,1,Electricity Generation,,,14895728,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2018,1,Electricity Generation,,,6821304,Lithgow,Central West and Orana,Regional,14870
