Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2019,2,Electricity Consumption - Scope 2,Residential,,98167.8,Albury,Riverina Murray,Regional,10050
2019,2,Electricity Consumption - Scope 2,Residential,,64320.6,Armidale Regional,New England North West,Regional,10130
2019,2,Electricity Consumption - Scope 2,Residential,,75335.9,Ballina,North Coast,Regional,10250
2019,2,Electricity Consumption - Scope 2,Residential,,10314,Balranald,Far West,Regional,10300
2019,2,Electricity Consumption - Scope 2,Residential,,86460.1,Bathurst Regional,Central West and Orana,Regional,10470
2019,2,Electricity Consumption - Scope 2,Residential,,241040.6,Bayside,Eastern Harbour City,Six Cities,10500
2019,2,Electricity Consumption - Scope 2,Residential,,76192.2,Bega Valley,South East and Tablelands,Regional,10550
2019,2,Electricity Consumption - Scope 2,Residential,,24934.3,Bellingen,North Coast,Regional,10600
2019,2,Electricity Consumption - Scope 2,Residential,,13706.5,Coonamble,Central West and Orana,Regional,12150
2019,2,Electricity Consumption - Scope 2,Residential,,26072.1,Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2019,2,Electricity Consumption - Scope 2,Residential,,33317.8,Cowra,Central West and Orana,Regional,12350
2019,2,Electricity Consumption - Scope 2,Residential,,326400.2,Cumberland,Central River City,Six Cities,12380
2019,2,Electricity Consumption - Scope 2,Residential,,132791.1,Dubbo Regional,Central West and Orana,Regional,12390
2019,2,Electricity Consumption - Scope 2,Residential,,24397.9,Dungog,Upper Hunter,Regional,12700
2019,2,Electricity Consumption - Scope 2,Residential,,30610.2,Edward River,Riverina Murray,Regional,12730
2019,2,Electricity Consumption - Scope 2,Residential,,86395.8,Eurobodalla,South East and Tablelands,Regional,12750
2019,2,Electricity Consumption - Scope 2,Residential,,348481,Fairfield,Western Parkland City,Six Cities,12850
2019,2,Electricity Consumption - Scope 2,Residential,,31986.3,Federation,Riverina Murray,Regional,12870
2019,2,Electricity Consumption - Scope 2,Residential,,26050.6,Forbes,Central West and Orana,Regional,12900
2019,2,Electricity Consumption - Scope 2,Residential,,245776.1,Georges River,Central River City,Six Cities,12930
2019,2,Electricity Consumption - Scope 2,Residential,,13553.2,Gilgandra,Central West and Orana,Regional,12950
2019,2,Electricity Consumption - Scope 2,Residential,,17166,Glen Innes Severn,New England North West,Regional,13010
2019,2,Electricity Consumption - Scope 2,Residential,,59965.6,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2019,2,Electricity Consumption - Scope 2,Residential,,27251.1,Greater Hume Shire,Riverina Murray,Regional,13340
2019,2,Electricity Consumption - Scope 2,Residential,,76602.7,Griffith,Riverina Murray,Regional,13450
2019,2,Electricity Consumption - Scope 2,Residential,,35098.2,Gunnedah,New England North West,Regional,13550
2019,2,Electricity Consumption - Scope 2,Residential,,15631.3,Gwydir,New England North West,Regional,13660
2019,2,Electricity Consumption - Scope 2,Residential,,175392.7,Hawkesbury,Western Parkland City,Six Cities,13800
2019,2,Electricity Consumption - Scope 2,Residential,,10720.8,Hay,Riverina Murray,Regional,13850
2019,2,Electricity Consumption - Scope 2,Residential,,49669.5,Hilltops,South East and Tablelands,Regional,13910
2019,2,Electricity Consumption - Scope 2,Residential,,317438.4,Hornsby,Eastern Harbour City,Six Cities,14000
2019,2,Electricity Consumption - Scope 2,Residential,,35226.8,Hunters Hill,Eastern Harbour City,Six Cities,14100
2019,2,Electricity Consumption - Scope 2,Residential,,284856.9,Inner West,Eastern Harbour City,Six Cities,14170
2019,2,Electricity Consumption - Scope 2,Residential,,39347.1,Inverell,New England North West,Regional,14200
2019,2,Electricity Consumption - Scope 2,Residential,,12447,Junee,Riverina Murray,Regional,14300
2019,2,Electricity Consumption - Scope 2,Residential,,56500.9,Kempsey,North Coast,Regional,14350
2019,2,Electricity Consumption - Scope 2,Residential,,45930.4,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2019,2,Electricity Consumption - Scope 2,Residential,,282874.8,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2019,2,Electricity Consumption - Scope 2,Residential,,18815.3,Kyogle,North Coast,Regional,14550
2019,2,Electricity Consumption - Scope 2,Residential,,20038.7,Lachlan,Central West and Orana,Regional,14600
2019,2,Electricity Consumption - Scope 2,Residential,,423554.5,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2019,2,Electricity Consumption - Scope 2,Residential,,72054.5,Lane Cove,Eastern Harbour City,Six Cities,14700
2019,2,Electricity Consumption - Scope 2,Residential,,32798.1,Leeton,Riverina Murray,Regional,14750
2019,2,Electricity Consumption - Scope 2,Residential,,76154.2,Lismore,North Coast,Regional,14850
2019,2,Electricity Consumption - Scope 2,Residential,,41572.5,Lithgow,Central West and Orana,Regional,14870
2019,2,Electricity Consumption - Scope 2,Residential,,376551.7,Liverpool,Western Parkland City,Six Cities,14900
2019,2,Electricity Consumption - Scope 2,Residential,,22333.6,Liverpool Plains,New England North West,Regional,14920
2019,2,Electricity Consumption - Scope 2,Residential,,9110.9,Lockhart,Riverina Murray,Regional,14950
2019,2,Electricity Consumption - Scope 2,Residential,,172143.5,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2019,2,Electricity Consumption - Scope 2,Residential,,199150,Mid-Coast,Upper Hunter,Regional,15240
2019,2,Electricity Consumption - Scope 2,Residential,,62374.5,Mid-Western Regional,Central West and Orana,Regional,15270
2019,2,Electricity Consumption - Scope 2,Residential,,42679.3,Moree Plains,New England North West,Regional,15300
2019,2,Electricity Consumption - Scope 2,Residential,,72541.2,Mosman,Eastern Harbour City,Six Cities,15350
2019,2,Electricity Consumption - Scope 2,Residential,,36480,Murray River,Riverina Murray,Regional,15520
2019,2,Electricity Consumption - Scope 2,Residential,,13740.8,Murrumbidgee,Riverina Murray,Regional,15560
2019,2,Electricity Consumption - Scope 2,Residential,,45092.6,Muswellbrook,Upper Hunter,Regional,15650
2019,2,Electricity Consumption - Scope 2,Residential,,35222.9,Nambucca,North Coast,Regional,15700
2019,2,Electricity Consumption - Scope 2,Residential,,39894.1,Narrabri,New England North West,Regional,15750
