Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Electricity Generation,,,13308.2,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,Electricity Generation,,,5664.1,Blacktown,Central River City,Six Cities,10750
2016,1,Electricity Generation,,,0,Broken Hill,Far West,Regional,11250
2016,1,Electricity Generation,,,1168.7,Camden,Western Parkland City,Six Cities,11450
2016,1,Electricity Generation,,,6508623.3,Central Coast,Central Coast City,Six Cities,11650
2016,1,Electricity Generation,,,458969.9,Cumberland,Central River City,Six Cities,12380
2016,1,Electricity Generation,,,12911231.7,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2016,1,Electricity Generation,,,6320481.5,Lithgow,Central West and Orana,Regional,14870
2016,1,Electricity Generation,,,23492490.5,Muswellbrook,Upper Hunter,Regional,15650
2016,1,Electricity Generation,,,47707,Narrabri,New England North West,Regional,15750
2016,1,Electricity Generation,,,3848.5,North Sydney,Eastern Harbour City,Six Cities,15950
2016,1,Electricity Generation,,,1490.5,Northern Beaches,Eastern Harbour City,Six Cities,15990
2016,1,Electricity Generation,,,685.1,Penrith,Western Parkland City,Six Cities,16350
2016,1,Electricity Generation,,,2092.2,Randwick,Eastern Harbour City,Six Cities,16550
2016,1,Electricity Generation,,,7213,Richmond Valley,North Coast,Regional,16610
2016,1,Electricity Generation,,,346.5,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2016,1,Electricity Generation,,,50490.4,Singleton,Upper Hunter,Regional,17000
2016,1,Electricity Generation,,,167,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2016,1,Electricity Generation,,,9763.6,Sutherland Shire,Central River City,Six Cities,17150
2016,1,Electricity Generation,,,3775.7,Sydney,Eastern Harbour City,Six Cities,17200
2016,1,Electricity Generation,,,3695.1,Tweed,North Coast,Regional,17550
2016,1,Electricity Generation,,,474537.4,Wagga Wagga,Riverina Murray,Regional,17750
2016,1,Electricity Generation,,,308680.2,Wollondilly,Western Parkland City,Six Cities,18400
2016,1,Electricity Generation,,,689587.6,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2017,1,Electricity Generation,,,15414.6,Bayside,Eastern Harbour City,Six Cities,10500
2017,1,Electricity Generation,,,5528.5,Blacktown,Central River City,Six Cities,10750
2017,1,Electricity Generation,,,0,Broken Hill,Far West,Regional,11250
2017,1,Electricity Generation,,,1085.4,Camden,Western Parkland City,Six Cities,11450
2017,1,Electricity Generation,,,6912022.3,Central Coast,Central Coast City,Six Cities,11650
2017,1,Electricity Generation,,,462463.2,Cumberland,Central River City,Six Cities,12380
2017,1,Electricity Generation,,,12893732,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2017,1,Electricity Generation,,,6573667.8,Lithgow,Central West and Orana,Regional,14870
2017,1,Electricity Generation,,,22958848.7,Muswellbrook,Upper Hunter,Regional,15650
2017,1,Electricity Generation,,,49674.8,Narrabri,New England North West,Regional,15750
2017,1,Electricity Generation,,,3453.6,North Sydney,Eastern Harbour City,Six Cities,15950
2017,1,Electricity Generation,,,1376.9,Northern Beaches,Eastern Harbour City,Six Cities,15990
2017,1,Electricity Generation,,,1254.2,Penrith,Western Parkland City,Six Cities,16350
2017,1,Electricity Generation,,,1458.2,Randwick,Eastern Harbour City,Six Cities,16550
2017,1,Electricity Generation,,,5273.4,Richmond Valley,North Coast,Regional,16610
2017,1,Electricity Generation,,,323.8,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2017,1,Electricity Generation,,,40666.7,Singleton,Upper Hunter,Regional,17000
