Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Fugitive Emissions,,,23698,Albury,Riverina Murray,Regional,10050
2016,1,Fugitive Emissions,,,30079,Blacktown,Central River City,Six Cities,10750
2016,1,Fugitive Emissions,,,728,Bland,Riverina Murray,Regional,10800
2016,1,Fugitive Emissions,,,4335,Camden,Western Parkland City,Six Cities,11450
2016,1,Fugitive Emissions,,,31526,Campbelltown,Western Parkland City,Six Cities,11500
2016,1,Fugitive Emissions,,,723738,Central Coast,Central Coast City,Six Cities,11650
2016,1,Fugitive Emissions,,,2642,Central Darling,Far West,Regional,11700
2016,1,Fugitive Emissions,,,163750,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2016,1,Fugitive Emissions,,,6242,Cobar,Far West,Regional,11750
2016,1,Fugitive Emissions,,,888,Dubbo Regional,Central West and Orana,Regional,12390
2016,1,Fugitive Emissions,,,9751,Fairfield,Western Parkland City,Six Cities,12850
2016,1,Fugitive Emissions,,,796,Forbes,Central West and Orana,Regional,12900
2016,1,Fugitive Emissions,,,1236,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2016,1,Fugitive Emissions,,,3327,Gunnedah,New England North West,Regional,13550
2016,1,Fugitive Emissions,,,23724,Hawkesbury,Western Parkland City,Six Cities,13800
2016,1,Fugitive Emissions,,,2139,Hilltops,South East and Tablelands,Regional,13910
2016,1,Fugitive Emissions,,,30710,Hornsby,Eastern Harbour City,Six Cities,14000
2016,1,Fugitive Emissions,,,236,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2016,1,Fugitive Emissions,,,1612,Lachlan,Central West and Orana,Regional,14600
2016,1,Fugitive Emissions,,,2156829,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2016,1,Fugitive Emissions,,,72319,Lithgow,Central West and Orana,Regional,14870
2016,1,Fugitive Emissions,,,18702,Liverpool,Western Parkland City,Six Cities,14900
2016,1,Fugitive Emissions,,,2814,Liverpool Plains,New England North West,Regional,14920
2016,1,Fugitive Emissions,,,6894,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2016,1,Fugitive Emissions,,,23107,Mid-Coast,Upper Hunter,Regional,15240
2016,1,Fugitive Emissions,,,80432,Mid-Western Regional,Central West and Orana,Regional,15270
2016,1,Fugitive Emissions,,,607320,Muswellbrook,Upper Hunter,Regional,15650
2016,1,Fugitive Emissions,,,458921,Narrabri,New England North West,Regional,15750
2016,1,Fugitive Emissions,,,775,Narromine,Central West and Orana,Regional,15850
2016,1,Fugitive Emissions,,,32013,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2016,1,Fugitive Emissions,,,1758,Northern Beaches,Eastern Harbour City,Six Cities,15990
2016,1,Fugitive Emissions,,,827,Parkes,Central West and Orana,Regional,16200
2016,1,Fugitive Emissions,,,3283,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2016,1,Fugitive Emissions,,,1216,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2016,1,Fugitive Emissions,,,143,Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2016,1,Fugitive Emissions,,,12832,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2016,1,Fugitive Emissions,,,6867223,Singleton,Upper Hunter,Regional,17000
2016,1,Fugitive Emissions,,,2349,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2016,1,Fugitive Emissions,,,192,Tamworth Regional,New England North West,Regional,17310
2016,1,Fugitive Emissions,,,15378,The Hills Shire,Central River City,Six Cities,17420
2016,1,Fugitive Emissions,,,4329,Unincorporated NSW,Far West,Regional,19399
2016,1,Fugitive Emissions,,,1071,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2016,1,Fugitive Emissions,,,15883,Wagga Wagga,Riverina Murray,Regional,17750
2016,1,Fugitive Emissions,,,1290,Weddin,Central West and Orana,Regional,18100
2016,1,Fugitive Emissions,,,1263,Wingecarribee,South East and Tablelands,Regional,18350
2016,1,Fugitive Emissions,,,4174957,Wollondilly,Western Parkland City,Six Cities,18400
2016,1,Fugitive Emissions,,,2019156,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2017,1,Fugitive Emissions,,,26021,Albury,Riverina Murray,Regional,10050
2017,1,Fugitive Emissions,,,29240,Blacktown,Central River City,Six Cities,10750
2017,1,Fugitive Emissions,,,754,Bland,Riverina Murray,Regional,10800
2017,1,Fugitive Emissions,,,4215,Camden,Western Parkland City,Six Cities,11450
2017,1,Fugitive Emissions,,,30498,Campbelltown,Western Parkland City,Six Cities,11500
2017,1,Fugitive Emissions,,,717851,Central Coast,Central Coast City,Six Cities,11650
2017,1,Fugitive Emissions,,,2737,Central Darling,Far West,Regional,11700
2017,1,Fugitive Emissions,,,212422,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2017,1,Fugitive Emissions,,,6468,Cobar,Far West,Regional,11750
2017,1,Fugitive Emissions,,,947,Dubbo Regional,Central West and Orana,Regional,12390
2017,1,Fugitive Emissions,,,9481,Fairfield,Western Parkland City,Six Cities,12850
2017,1,Fugitive Emissions,,,796,Forbes,Central West and Orana,Regional,12900
2017,1,Fugitive Emissions,,,1276,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2017,1,Fugitive Emissions,,,3633,Gunnedah,New England North West,Regional,13550
2017,1,Fugitive Emissions,,,23063,Hawkesbury,Western Parkland City,Six Cities,13800
2017,1,Fugitive Emissions,,,2216,Hilltops,South East and Tablelands,Regional,13910
2017,1,Fugitive Emissions,,,29853,Hornsby,Eastern Harbour City,Six Cities,14000
2017,1,Fugitive Emissions,,,235,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2017,1,Fugitive Emissions,,,1671,Lachlan,Central West and Orana,Regional,14600
2017,1,Fugitive Emissions,,,2270940,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2017,1,Fugitive Emissions,,,78201,Lithgow,Central West and Orana,Regional,14870
2017,1,Fugitive Emissions,,,18184,Liverpool,Western Parkland City,Six Cities,14900
2017,1,Fugitive Emissions,,,2511,Liverpool Plains,New England North West,Regional,14920
2017,1,Fugitive Emissions,,,6897,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2017,1,Fugitive Emissions,,,8976,Mid-Coast,Upper Hunter,Regional,15240
2017,1,Fugitive Emissions,,,88981,Mid-Western Regional,Central West and Orana,Regional,15270
2017,1,Fugitive Emissions,,,498845,Muswellbrook,Upper Hunter,Regional,15650
2017,1,Fugitive Emissions,,,483711,Narrabri,New England North West,Regional,15750
2017,1,Fugitive Emissions,,,775,Narromine,Central West and Orana,Regional,15850
2017,1,Fugitive Emissions,,,31120,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2017,1,Fugitive Emissions,,,1576,Northern Beaches,Eastern Harbour City,Six Cities,15990
2017,1,Fugitive Emissions,,,827,Parkes,Central West and Orana,Regional,16200
2017,1,Fugitive Emissions,,,6414,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2017,1,Fugitive Emissions,,,1215,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2017,1,Fugitive Emissions,,,143,Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2017,1,Fugitive Emissions,,,12099,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2017,1,Fugitive Emissions,,,6042000,Singleton,Upper Hunter,Regional,17000
2017,1,Fugitive Emissions,,,2346,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2017,1,Fugitive Emissions,,,212,Tamworth Regional,New England North West,Regional,17310
2017,1,Fugitive Emissions,,,14949,The Hills Shire,Central River City,Six Cities,17420
2017,1,Fugitive Emissions,,,4485,Unincorporated NSW,Far West,Regional,19399
2017,1,Fugitive Emissions,,,1110,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2017,1,Fugitive Emissions,,,15953,Wagga Wagga,Riverina Murray,Regional,17750
2017,1,Fugitive Emissions,,,1329,Weddin,Central West and Orana,Regional,18100
2017,1,Fugitive Emissions,,,1309,Wingecarribee,South East and Tablelands,Regional,18350
2017,1,Fugitive Emissions,,,4465143,Wollondilly,Western Parkland City,Six Cities,18400
2017,1,Fugitive Emissions,,,767772,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2018,1,Fugitive Emissions,,,23353,Albury,Riverina Murray,Regional,10050
2018,1,Fugitive Emissions,,,28554,Blacktown,Central River City,Six Cities,10750
2018,1,Fugitive Emissions,,,754,Bland,Riverina Murray,Regional,10800
2018,1,Fugitive Emissions,,,4118,Camden,Western Parkland City,Six Cities,11450
2018,1,Fugitive Emissions,,,29228,Campbelltown,Western Parkland City,Six Cities,11500
2018,1,Fugitive Emissions,,,587592,Central Coast,Central Coast City,Six Cities,11650
2018,1,Fugitive Emissions,,,2737,Central Darling,Far West,Regional,11700
2018,1,Fugitive Emissions,,,248601,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2018,1,Fugitive Emissions,,,6468,Cobar,Far West,Regional,11750
2018,1,Fugitive Emissions,,,965,Dubbo Regional,Central West and Orana,Regional,12390
2018,1,Fugitive Emissions,,,9260,Fairfield,Western Parkland City,Six Cities,12850
2018,1,Fugitive Emissions,,,796,Forbes,Central West and Orana,Regional,12900
2018,1,Fugitive Emissions,,,1276,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2018,1,Fugitive Emissions,,,3595,Gunnedah,New England North West,Regional,13550
2018,1,Fugitive Emissions,,,22522,Hawkesbury,Western Parkland City,Six Cities,13800
2018,1,Fugitive Emissions,,,2216,Hilltops,South East and Tablelands,Regional,13910
2018,1,Fugitive Emissions,,,29154,Hornsby,Eastern Harbour City,Six Cities,14000
2018,1,Fugitive Emissions,,,235,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2018,1,Fugitive Emissions,,,1671,Lachlan,Central West and Orana,Regional,14600
2018,1,Fugitive Emissions,,,3040698,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2018,1,Fugitive Emissions,,,81736,Lithgow,Central West and Orana,Regional,14870
2018,1,Fugitive Emissions,,,17761,Liverpool,Western Parkland City,Six Cities,14900
2018,1,Fugitive Emissions,,,2687,Liverpool Plains,New England North West,Regional,14920
2018,1,Fugitive Emissions,,,6900,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2018,1,Fugitive Emissions,,,7548,Mid-Coast,Upper Hunter,Regional,15240
2018,1,Fugitive Emissions,,,91309,Mid-Western Regional,Central West and Orana,Regional,15270
2018,1,Fugitive Emissions,,,518660,Muswellbrook,Upper Hunter,Regional,15650
2018,1,Fugitive Emissions,,,404554,Narrabri,New England North West,Regional,15750
2018,1,Fugitive Emissions,,,775,Narromine,Central West and Orana,Regional,15850
2018,1,Fugitive Emissions,,,30391,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2018,1,Fugitive Emissions,,,1093,Northern Beaches,Eastern Harbour City,Six Cities,15990
2018,1,Fugitive Emissions,,,827,Parkes,Central West and Orana,Regional,16200
2018,1,Fugitive Emissions,,,5602,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2018,1,Fugitive Emissions,,,1215,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2018,1,Fugitive Emissions,,,143,Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2018,1,Fugitive Emissions,,,12037,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2018,1,Fugitive Emissions,,,5151972,Singleton,Upper Hunter,Regional,17000
2018,1,Fugitive Emissions,,,2346,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2018,1,Fugitive Emissions,,,219,Tamworth Regional,New England North West,Regional,17310
2018,1,Fugitive Emissions,,,14599,The Hills Shire,Central River City,Six Cities,17420
2018,1,Fugitive Emissions,,,4485,Unincorporated NSW,Far West,Regional,19399
2018,1,Fugitive Emissions,,,1110,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2018,1,Fugitive Emissions,,,16117,Wagga Wagga,Riverina Murray,Regional,17750
2018,1,Fugitive Emissions,,,1329,Weddin,Central West and Orana,Regional,18100
2018,1,Fugitive Emissions,,,1309,Wingecarribee,South East and Tablelands,Regional,18350
2018,1,Fugitive Emissions,,,3687532,Wollondilly,Western Parkland City,Six Cities,18400
2018,1,Fugitive Emissions,,,693396,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2019,1,Fugitive Emissions,,,24242,Albury,Riverina Murray,Regional,10050
2019,1,Fugitive Emissions,,,30066,Blacktown,Central River City,Six Cities,10750
2019,1,Fugitive Emissions,,,754,Bland,Riverina Murray,Regional,10800
2019,1,Fugitive Emissions,,,4333,Camden,Western Parkland City,Six Cities,11450
2019,1,Fugitive Emissions,,,30879,Campbelltown,Western Parkland City,Six Cities,11500
2019,1,Fugitive Emissions,,,364555,Central Coast,Central Coast City,Six Cities,11650
2019,1,Fugitive Emissions,,,2737,Central Darling,Far West,Regional,11700
2019,1,Fugitive Emissions,,,182697,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2019,1,Fugitive Emissions,,,6468,Cobar,Far West,Regional,11750
2019,1,Fugitive Emissions,,,939,Dubbo Regional,Central West and Orana,Regional,12390
2019,1,Fugitive Emissions,,,9746,Fairfield,Western Parkland City,Six Cities,12850
2019,1,Fugitive Emissions,,,796,Forbes,Central West and Orana,Regional,12900
2019,1,Fugitive Emissions,,,1276,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2019,1,Fugitive Emissions,,,3391,Gunnedah,New England North West,Regional,13550
2019,1,Fugitive Emissions,,,23714,Hawkesbury,Western Parkland City,Six Cities,13800
2019,1,Fugitive Emissions,,,2216,Hilltops,South East and Tablelands,Regional,13910
2019,1,Fugitive Emissions,,,30697,Hornsby,Eastern Harbour City,Six Cities,14000
2019,1,Fugitive Emissions,,,235,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2019,1,Fugitive Emissions,,,1671,Lachlan,Central West and Orana,Regional,14600
2019,1,Fugitive Emissions,,,2278066,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2019,1,Fugitive Emissions,,,72086,Lithgow,Central West and Orana,Regional,14870
2019,1,Fugitive Emissions,,,18694,Liverpool,Western Parkland City,Six Cities,14900
2019,1,Fugitive Emissions,,,2371,Liverpool Plains,New England North West,Regional,14920
2019,1,Fugitive Emissions,,,4755,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2019,1,Fugitive Emissions,,,2507,Mid-Coast,Upper Hunter,Regional,15240
2019,1,Fugitive Emissions,,,83866,Mid-Western Regional,Central West and Orana,Regional,15270
2019,1,Fugitive Emissions,,,586830,Muswellbrook,Upper Hunter,Regional,15650
2019,1,Fugitive Emissions,,,521837,Narrabri,New England North West,Regional,15750
2019,1,Fugitive Emissions,,,775,Narromine,Central West and Orana,Regional,15850
2019,1,Fugitive Emissions,,,31999,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2019,1,Fugitive Emissions,,,0,Northern Beaches,Eastern Harbour City,Six Cities,15990
2019,1,Fugitive Emissions,,,827,Parkes,Central West and Orana,Regional,16200
2019,1,Fugitive Emissions,,,6023,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2019,1,Fugitive Emissions,,,1215,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2019,1,Fugitive Emissions,,,143,Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2019,1,Fugitive Emissions,,,10866,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2019,1,Fugitive Emissions,,,3511457,Singleton,Upper Hunter,Regional,17000
2019,1,Fugitive Emissions,,,2347,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2019,1,Fugitive Emissions,,,210,Tamworth Regional,New England North West,Regional,17310
2019,1,Fugitive Emissions,,,15371,The Hills Shire,Central River City,Six Cities,17420
2019,1,Fugitive Emissions,,,4485,Unincorporated NSW,Far West,Regional,19399
2019,1,Fugitive Emissions,,,1110,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2019,1,Fugitive Emissions,,,16998,Wagga Wagga,Riverina Murray,Regional,17750
2019,1,Fugitive Emissions,,,1329,Weddin,Central West and Orana,Regional,18100
2019,1,Fugitive Emissions,,,1309,Wingecarribee,South East and Tablelands,Regional,18350
2019,1,Fugitive Emissions,,,3645533,Wollondilly,Western Parkland City,Six Cities,18400
2019,1,Fugitive Emissions,,,970636,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
