Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Industrial Process and Product Use,,,20432,Albury,Riverina Murray,Regional,10050
2016,1,Industrial Process and Product Use,,,11872,Armidale Regional,New England North West,Regional,10130
2016,1,Industrial Process and Product Use,,,16838,Ballina,North Coast,Regional,10250
2016,1,Industrial Process and Product Use,,,913,Balranald,Far West,Regional,10300
2016,1,Industrial Process and Product Use,,,16544,Bathurst Regional,Central West and Orana,Regional,10470
2016,1,Industrial Process and Product Use,,,64437,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,Industrial Process and Product Use,,,13292,Bega Valley,South East and Tablelands,Regional,10550
2016,1,Industrial Process and Product Use,,,5072,Bellingen,North Coast,Regional,10600
2016,1,Industrial Process and Product Use,,,3372,Berrigan,Riverina Murray,Regional,10650
2016,1,Industrial Process and Product Use,,,171293,Blacktown,Central River City,Six Cities,10750
2016,1,Industrial Process and Product Use,,,2359,Bland,Riverina Murray,Regional,10800
2016,1,Industrial Process and Product Use,,,2876,Blayney,Central West and Orana,Regional,10850
2016,1,Industrial Process and Product Use,,,30874,Blue Mountains,Western Parkland City,Six Cities,10900
2016,1,Industrial Process and Product Use,,,1082,Bogan,Central West and Orana,Regional,10950
2016,1,Industrial Process and Product Use,,,1082,Bourke,Far West,Regional,11150
2016,1,Industrial Process and Product Use,,,670,Brewarrina,Far West,Regional,11200
2016,1,Industrial Process and Product Use,,,7094,Broken Hill,Far West,Regional,11250
2016,1,Industrial Process and Product Use,,,15092,Burwood,Eastern Harbour City,Six Cities,11300
2016,1,Industrial Process and Product Use,,,13080,Byron,North Coast,Regional,11350
2016,1,Industrial Process and Product Use,,,5346,Cabonne,Central West and Orana,Regional,11400
2016,1,Industrial Process and Product Use,,,36001,Camden,Western Parkland City,Six Cities,11450
2016,1,Industrial Process and Product Use,,,64337,Campbelltown,Western Parkland City,Six Cities,11500
2016,1,Industrial Process and Product Use,,,36239,Canada Bay,Eastern Harbour City,Six Cities,11520
2016,1,Industrial Process and Product Use,,,142658,Canterbury-Bankstown,Central River City,Six Cities,11570
2016,1,Industrial Process and Product Use,,,1094,Carrathool,Riverina Murray,Regional,11600
2016,1,Industrial Process and Product Use,,,132299,Central Coast,Central Coast City,Six Cities,11650
2016,1,Industrial Process and Product Use,,,737,Central Darling,Far West,Regional,11700
2016,1,Industrial Process and Product Use,,,22213,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2016,1,Industrial Process and Product Use,,,20217,Clarence Valley,North Coast,Regional,11730
2016,1,Industrial Process and Product Use,,,1870,Cobar,Far West,Regional,11750
2016,1,Industrial Process and Product Use,,,29243,Coffs Harbour,North Coast,Regional,11800
2016,1,Industrial Process and Product Use,,,1719,Coolamon,Riverina Murray,Regional,12000
2016,1,Industrial Process and Product Use,,,1587,Coonamble,Central West and Orana,Regional,12150
2016,1,Industrial Process and Product Use,,,4422,Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
