Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,460,Albury,Riverina Murray,Regional,10050
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,330,Albury,Riverina Murray,Regional,10050
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,477,Albury,Riverina Murray,Regional,10050
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,574,Albury,Riverina Murray,Regional,10050
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-6158,Albury,Riverina Murray,Regional,10050
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-8246,Albury,Riverina Murray,Regional,10050
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-9616,Albury,Riverina Murray,Regional,10050
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-7056,Albury,Riverina Murray,Regional,10050
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,3371,Albury,Riverina Murray,Regional,10050
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,622,Albury,Riverina Murray,Regional,10050
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,2181,Albury,Riverina Murray,Regional,10050
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,4427,Albury,Riverina Murray,Regional,10050
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,995,Albury,Riverina Murray,Regional,10050
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,799,Albury,Riverina Murray,Regional,10050
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,578,Albury,Riverina Murray,Regional,10050
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,463,Albury,Riverina Murray,Regional,10050
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,2135,Armidale Regional,New England North West,Regional,10130
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,-4467,Armidale Regional,New England North West,Regional,10130
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,-2997,Armidale Regional,New England North West,Regional,10130
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,560,Armidale Regional,New England North West,Regional,10130
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-282339,Armidale Regional,New England North West,Regional,10130
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-297282,Armidale Regional,New England North West,Regional,10130
