Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Waste,Solid Waste,," 44,766 ",Albury,Riverina Murray,Regional,10050
2016,1,Waste,Solid Waste,," 12,720 ",Armidale Regional,New England North West,Regional,10130
2016,1,Waste,Solid Waste,," 10,657 ",Ballina,North Coast,Regional,10250
2016,1,Waste,Solid Waste,," 1,716 ",Balranald,Far West,Regional,10300
2016,1,Waste,Solid Waste,," 35,899 ",Bathurst Regional,Central West and Orana,Regional,10470
2016,1,Waste,Solid Waste,, -   ,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,Waste,Solid Waste,," 15,724 ",Bega Valley,South East and Tablelands,Regional,10550
2016,1,Waste,Solid Waste,, 755 ,Bellingen,North Coast,Regional,10600
2016,1,Waste,Solid Waste,," 1,219 ",Berrigan,Riverina Murray,Regional,10650
2016,1,Waste,Solid Waste,," 77,669 ",Blacktown,Central River City,Six Cities,10750
2016,1,Waste,Solid Waste,," 1,003 ",Bland,Riverina Murray,Regional,10800
2016,1,Waste,Solid Waste,," 4,133 ",Blayney,Central West and Orana,Regional,10850
2016,1,Waste,Solid Waste,," 32,076 ",Blue Mountains,Western Parkland City,Six Cities,10900
2016,1,Waste,Solid Waste,, 721 ,Bogan,Central West and Orana,Regional,10950
2016,1,Waste,Solid Waste,," 2,012 ",Bourke,Far West,Regional,11150
2016,1,Waste,Solid Waste,, 404 ,Brewarrina,Far West,Regional,11200
2016,1,Waste,Solid Waste,," 17,849 ",Broken Hill,Far West,Regional,11250
2016,1,Waste,Solid Waste,, -   ,Burwood,Eastern Harbour City,Six Cities,11300
2016,1,Waste,Solid Waste,, -   ,Byron,North Coast,Regional,11350
2016,1,Waste,Solid Waste,," 18,294 ",Cabonne,Central West and Orana,Regional,11400
2016,1,Waste,Solid Waste,," 20,620 ",Camden,Western Parkland City,Six Cities,11450
2016,1,Waste,Solid Waste,," 36,819 ",Campbelltown,Western Parkland City,Six Cities,11500
2016,1,Waste,Solid Waste,, -   ,Canada Bay,Eastern Harbour City,Six Cities,11520
2016,1,Waste,Solid Waste,," 8,720 ",Canterbury-Bankstown,Central River City,Six Cities,11570
2016,1,Waste,Solid Waste,, 428 ,Carrathool,Riverina Murray,Regional,11600
2016,1,Waste,Solid Waste,," 52,001 ",Central Coast,Central Coast City,Six Cities,11650
2016,1,Waste,Solid Waste,," 1,259 ",Central Darling,Far West,Regional,11700
2016,1,Waste,Solid Waste,," 39,668 ",Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2016,1,Waste,Solid Waste,," 19,631 ",Clarence Valley,North Coast,Regional,11730
2016,1,Waste,Solid Waste,," 1,115 ",Cobar,Far West,Regional,11750
2016,1,Waste,Solid Waste,," 13,588 ",Coffs Harbour,North Coast,Regional,11800
2016,1,Waste,Solid Waste,, 525 ,Coolamon,Riverina Murray,Regional,12000
2016,1,Waste,Solid Waste,," 3,314 ",Coonamble,Central West and Orana,Regional,12150
2016,1,Waste,Solid Waste,," 42,680 ",Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2016,1,Waste,Solid Waste,," 4,625 ",Cowra,Central West and Orana,Regional,12350
2016,1,Waste,Solid Waste,, -   ,Cumberland,Central River City,Six Cities,12380
2016,1,Waste,Solid Waste,," 36,227 ",Dubbo Regional,Central West and Orana,Regional,12390
2016,1,Waste,Solid Waste,," 1,981 ",Dungog,Upper Hunter,Regional,12700
2016,1,Waste,Solid Waste,," 3,877 ",Edward River,Riverina Murray,Regional,12730
2016,1,Waste,Solid Waste,," 14,421 ",Eurobodalla,South East and Tablelands,Regional,12750
2016,1,Waste,Solid Waste,,"-14,056 ",Fairfield,Western Parkland City,Six Cities,12850
2016,1,Waste,Solid Waste,," 2,046 ",Federation,Riverina Murray,Regional,12870
2016,1,Waste,Solid Waste,," 19,208 ",Forbes,Central West and Orana,Regional,12900
2016,1,Waste,Solid Waste,, -   ,Georges River,Central River City,Six Cities,12930
2016,1,Waste,Solid Waste,," 1,751 ",Gilgandra,Central West and Orana,Regional,12950
2016,1,Waste,Solid Waste,," 4,604 ",Glen Innes Severn,New England North West,Regional,13010
2016,1,Waste,Solid Waste,," 103,068 ",Goulburn Mulwaree,South East and Tablelands,Regional,13310
2016,1,Waste,Solid Waste,," 2,989 ",Greater Hume Shire,Riverina Murray,Regional,13340
2016,1,Waste,Solid Waste,," 13,794 ",Griffith,Riverina Murray,Regional,13450
2016,1,Waste,Solid Waste,," 6,153 ",Gunnedah,New England North West,Regional,13550
2016,1,Waste,Solid Waste,," 1,278 ",Gwydir,New England North West,Regional,13660
2016,1,Waste,Solid Waste,," 15,349 ",Hawkesbury,Western Parkland City,Six Cities,13800
2016,1,Waste,Solid Waste,, 982 ,Hay,Riverina Murray,Regional,13850
2016,1,Waste,Solid Waste,," 25,326 ",Hilltops,South East and Tablelands,Regional,13910
2016,1,Waste,Solid Waste,, -   ,Hornsby,Eastern Harbour City,Six Cities,14000
2016,1,Waste,Solid Waste,, -   ,Hunters Hill,Eastern Harbour City,Six Cities,14100
2016,1,Waste,Solid Waste,, -   ,Inner West,Eastern Harbour City,Six Cities,14170
2016,1,Waste,Solid Waste,," 6,023 ",Inverell,New England North West,Regional,14200
2016,1,Waste,Solid Waste,," 1,216 ",Junee,Riverina Murray,Regional,14300
2016,1,Waste,Solid Waste,," 10,313 ",Kempsey,North Coast,Regional,14350
2016,1,Waste,Solid Waste,, -   ,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2016,1,Waste,Solid Waste,, -   ,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2016,1,Waste,Solid Waste,," 1,907 ",Kyogle,North Coast,Regional,14550
2016,1,Waste,Solid Waste,," 2,081 ",Lachlan,Central West and Orana,Regional,14600
2016,1,Waste,Solid Waste,," 34,270 ",Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2016,1,Waste,Solid Waste,, -   ,Lane Cove,Eastern Harbour City,Six Cities,14700
2016,1,Waste,Solid Waste,," 9,645 ",Leeton,Riverina Murray,Regional,14750
2016,1,Waste,Solid Waste,," 21,560 ",Lismore,North Coast,Regional,14850
2016,1,Waste,Solid Waste,, -   ,Lithgow,Central West and Orana,Regional,14870
2016,1,Waste,Solid Waste,, -   ,Liverpool,Western Parkland City,Six Cities,14900
2016,1,Waste,Solid Waste,," 3,171 ",Liverpool Plains,New England North West,Regional,14920
2016,1,Waste,Solid Waste,, 958 ,Lockhart,Riverina Murray,Regional,14950
2016,1,Waste,Solid Waste,," 31,831 ",Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2016,1,Waste,Solid Waste,," 40,926 ",Mid-Coast,Upper Hunter,Regional,15240
2016,1,Waste,Solid Waste,," 14,767 ",Mid-Western Regional,Central West and Orana,Regional,15270
2016,1,Waste,Solid Waste,," 5,446 ",Moree Plains,New England North West,Regional,15300
2016,1,Waste,Solid Waste,, -   ,Mosman,Eastern Harbour City,Six Cities,15350
2016,1,Waste,Solid Waste,," 8,044 ",Murray River,Riverina Murray,Regional,15520
2016,1,Waste,Solid Waste,, 600 ,Murrumbidgee,Riverina Murray,Regional,15560
2016,1,Waste,Solid Waste,," 16,204 ",Muswellbrook,Upper Hunter,Regional,15650
2016,1,Waste,Solid Waste,, 100 ,Nambucca,North Coast,Regional,15700
2016,1,Waste,Solid Waste,," 6,707 ",Narrabri,New England North West,Regional,15750
2016,1,Waste,Solid Waste,," 3,238 ",Narrandera,Riverina Murray,Regional,15800
2016,1,Waste,Solid Waste,," 6,746 ",Narromine,Central West and Orana,Regional,15850
2016,1,Waste,Solid Waste,," 89,845 ",Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2016,1,Waste,Solid Waste,, -   ,North Sydney,Eastern Harbour City,Six Cities,15950
2016,1,Waste,Solid Waste,," 89,200 ",Northern Beaches,Eastern Harbour City,Six Cities,15990
2016,1,Waste,Solid Waste,," 6,894 ",Oberon,Central West and Orana,Regional,16100
2016,1,Waste,Solid Waste,," 14,035 ",Orange,Central West and Orana,Regional,16150
2016,1,Waste,Solid Waste,," 6,663 ",Parkes,Central West and Orana,Regional,16200
2016,1,Waste,Solid Waste,, -   ,Parramatta,Central River City,Six Cities,16260
2016,1,Waste,Solid Waste,," 308,304 ",Penrith,Western Parkland City,Six Cities,16350
2016,1,Waste,Solid Waste,," 27,693 ",Port Macquarie-Hastings,North Coast,Regional,16380
2016,1,Waste,Solid Waste,," 12,779 ",Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2016,1,Waste,Solid Waste,," 1,135 ",Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2016,1,Waste,Solid Waste,, -   ,Randwick,Eastern Harbour City,Six Cities,16550
2016,1,Waste,Solid Waste,," 6,498 ",Richmond Valley,North Coast,Regional,16610
2016,1,Waste,Solid Waste,, -   ,Ryde,Eastern Harbour City,Six Cities,16700
2016,1,Waste,Solid Waste,," 22,913 ",Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2016,1,Waste,Solid Waste,," 44,811 ",Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2016,1,Waste,Solid Waste,," 8,737 ",Singleton,Upper Hunter,Regional,17000
2016,1,Waste,Solid Waste,," 9,646 ",Snowy Monaro Regional,South East and Tablelands,Regional,17040
2016,1,Waste,Solid Waste,," 2,905 ",Snowy Valleys,Riverina Murray,Regional,17080
2016,1,Waste,Solid Waste,, -   ,Strathfield,Eastern Harbour City,Six Cities,17100
2016,1,Waste,Solid Waste,," 289,229 ",Sutherland Shire,Central River City,Six Cities,17150
2016,1,Waste,Solid Waste,, -   ,Sydney,Eastern Harbour City,Six Cities,17200
2016,1,Waste,Solid Waste,," 33,267 ",Tamworth Regional,New England North West,Regional,17310
2016,1,Waste,Solid Waste,," 1,394 ",Temora,Riverina Murray,Regional,17350
2016,1,Waste,Solid Waste,," 1,882 ",Tenterfield,New England North West,Regional,17400
2016,1,Waste,Solid Waste,, -   ,The Hills Shire,Central River City,Six Cities,17420
2016,1,Waste,Solid Waste,," 9,683 ",Tweed,North Coast,Regional,17550
2016,1,Waste,Solid Waste,," 3,184 ",Upper Hunter Shire,Upper Hunter,Regional,17620
2016,1,Waste,Solid Waste,," 2,974 ",Upper Lachlan Shire,South East and Tablelands,Regional,17640
2016,1,Waste,Solid Waste,, 607 ,Uralla,New England North West,Regional,17650
2016,1,Waste,Solid Waste,," 40,247 ",Wagga Wagga,Riverina Murray,Regional,17750
2016,1,Waste,Solid Waste,, 858 ,Walcha,New England North West,Regional,17850
2016,1,Waste,Solid Waste,," 5,855 ",Walgett,Far West,Regional,17900
2016,1,Waste,Solid Waste,," 2,193 ",Warren,Central West and Orana,Regional,17950
2016,1,Waste,Solid Waste,," 1,184 ",Warrumbungle Shire,Central West and Orana,Regional,18020
2016,1,Waste,Solid Waste,, -   ,Waverley,Eastern Harbour City,Six Cities,18050
2016,1,Waste,Solid Waste,," 1,954 ",Weddin,Central West and Orana,Regional,18100
2016,1,Waste,Solid Waste,," 18,705 ",Wentworth,Far West,Regional,18200
2016,1,Waste,Solid Waste,, -   ,Willoughby,Eastern Harbour City,Six Cities,18250
2016,1,Waste,Solid Waste,, -   ,Wingecarribee,South East and Tablelands,Regional,18350
2016,1,Waste,Solid Waste,," 2,396 ",Wollondilly,Western Parkland City,Six Cities,18400
2016,1,Waste,Solid Waste,," 128,214 ",Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2016,1,Waste,Solid Waste,, -   ,Woollahra,Eastern Harbour City,Six Cities,18500
2016,1,Waste,Solid Waste,, 624 ,Yass Valley,South East and Tablelands,Regional,18710
2017,1,Waste,Solid Waste,," 42,609 ",Albury,Riverina Murray,Regional,10050
2017,1,Waste,Solid Waste,," 22,929 ",Armidale Regional,New England North West,Regional,10130
2017,1,Waste,Solid Waste,," 15,153 ",Ballina,North Coast,Regional,10250
2017,1,Waste,Solid Waste,," 3,506 ",Balranald,Far West,Regional,10300
2017,1,Waste,Solid Waste,," 37,486 ",Bathurst Regional,Central West and Orana,Regional,10470
2017,1,Waste,Solid Waste,, -   ,Bayside,Eastern Harbour City,Six Cities,10500
2017,1,Waste,Solid Waste,," 28,143 ",Bega Valley,South East and Tablelands,Regional,10550
2017,1,Waste,Solid Waste,," 1,365 ",Bellingen,North Coast,Regional,10600
2017,1,Waste,Solid Waste,," 2,130 ",Berrigan,Riverina Murray,Regional,10650
2017,1,Waste,Solid Waste,," 64,205 ",Blacktown,Central River City,Six Cities,10750
2017,1,Waste,Solid Waste,," 4,235 ",Bland,Riverina Murray,Regional,10800
2017,1,Waste,Solid Waste,," 5,199 ",Blayney,Central West and Orana,Regional,10850
2017,1,Waste,Solid Waste,," 36,645 ",Blue Mountains,Western Parkland City,Six Cities,10900
2017,1,Waste,Solid Waste,," 1,994 ",Bogan,Central West and Orana,Regional,10950
2017,1,Waste,Solid Waste,," 2,827 ",Bourke,Far West,Regional,11150
2017,1,Waste,Solid Waste,, 619 ,Brewarrina,Far West,Regional,11200
2017,1,Waste,Solid Waste,," 36,623 ",Broken Hill,Far West,Regional,11250
2017,1,Waste,Solid Waste,, -   ,Burwood,Eastern Harbour City,Six Cities,11300
2017,1,Waste,Solid Waste,, -   ,Byron,North Coast,Regional,11350
2017,1,Waste,Solid Waste,," 41,856 ",Cabonne,Central West and Orana,Regional,11400
2017,1,Waste,Solid Waste,," 28,013 ",Camden,Western Parkland City,Six Cities,11450
2017,1,Waste,Solid Waste,," 35,995 ",Campbelltown,Western Parkland City,Six Cities,11500
2017,1,Waste,Solid Waste,, -   ,Canada Bay,Eastern Harbour City,Six Cities,11520
2017,1,Waste,Solid Waste,," 14,249 ",Canterbury-Bankstown,Central River City,Six Cities,11570
2017,1,Waste,Solid Waste,," 4,687 ",Carrathool,Riverina Murray,Regional,11600
2017,1,Waste,Solid Waste,," 75,844 ",Central Coast,Central Coast City,Six Cities,11650
2017,1,Waste,Solid Waste,," 2,232 ",Central Darling,Far West,Regional,11700
2017,1,Waste,Solid Waste,," 35,211 ",Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2017,1,Waste,Solid Waste,," 31,275 ",Clarence Valley,North Coast,Regional,11730
2017,1,Waste,Solid Waste,," 1,801 ",Cobar,Far West,Regional,11750
2017,1,Waste,Solid Waste,," 32,273 ",Coffs Harbour,North Coast,Regional,11800
2017,1,Waste,Solid Waste,, 932 ,Coolamon,Riverina Murray,Regional,12000
2017,1,Waste,Solid Waste,," 3,849 ",Coonamble,Central West and Orana,Regional,12150
2017,1,Waste,Solid Waste,," 46,663 ",Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2017,1,Waste,Solid Waste,," 7,360 ",Cowra,Central West and Orana,Regional,12350
2017,1,Waste,Solid Waste,, -   ,Cumberland,Central River City,Six Cities,12380
2017,1,Waste,Solid Waste,," 38,529 ",Dubbo Regional,Central West and Orana,Regional,12390
2017,1,Waste,Solid Waste,," 3,439 ",Dungog,Upper Hunter,Regional,12700
2017,1,Waste,Solid Waste,," 5,550 ",Edward River,Riverina Murray,Regional,12730
2017,1,Waste,Solid Waste,," 23,970 ",Eurobodalla,South East and Tablelands,Regional,12750
2017,1,Waste,Solid Waste,," 66,963 ",Fairfield,Western Parkland City,Six Cities,12850
2017,1,Waste,Solid Waste,," 2,010 ",Federation,Riverina Murray,Regional,12870
2017,1,Waste,Solid Waste,," 17,430 ",Forbes,Central West and Orana,Regional,12900
2017,1,Waste,Solid Waste,, -   ,Georges River,Central River City,Six Cities,12930
2017,1,Waste,Solid Waste,, -   ,Gilgandra,Central West and Orana,Regional,12950
2017,1,Waste,Solid Waste,," 9,718 ",Glen Innes Severn,New England North West,Regional,13010
2017,1,Waste,Solid Waste,," 122,088 ",Goulburn Mulwaree,South East and Tablelands,Regional,13310
2017,1,Waste,Solid Waste,," 4,219 ",Greater Hume Shire,Riverina Murray,Regional,13340
2017,1,Waste,Solid Waste,," 23,516 ",Griffith,Riverina Murray,Regional,13450
2017,1,Waste,Solid Waste,," 12,738 ",Gunnedah,New England North West,Regional,13550
2017,1,Waste,Solid Waste,," 1,432 ",Gwydir,New England North West,Regional,13660
2017,1,Waste,Solid Waste,," 25,298 ",Hawkesbury,Western Parkland City,Six Cities,13800
2017,1,Waste,Solid Waste,," 1,635 ",Hay,Riverina Murray,Regional,13850
2017,1,Waste,Solid Waste,," 43,236 ",Hilltops,South East and Tablelands,Regional,13910
2017,1,Waste,Solid Waste,, -   ,Hornsby,Eastern Harbour City,Six Cities,14000
2017,1,Waste,Solid Waste,, -   ,Hunters Hill,Eastern Harbour City,Six Cities,14100
2017,1,Waste,Solid Waste,, -   ,Inner West,Eastern Harbour City,Six Cities,14170
2017,1,Waste,Solid Waste,," 20,227 ",Inverell,New England North West,Regional,14200
2017,1,Waste,Solid Waste,," 1,158 ",Junee,Riverina Murray,Regional,14300
2017,1,Waste,Solid Waste,," 16,803 ",Kempsey,North Coast,Regional,14350
2017,1,Waste,Solid Waste,, -   ,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2017,1,Waste,Solid Waste,, -   ,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2017,1,Waste,Solid Waste,," 3,163 ",Kyogle,North Coast,Regional,14550
2017,1,Waste,Solid Waste,," 5,129 ",Lachlan,Central West and Orana,Regional,14600
2017,1,Waste,Solid Waste,," 57,522 ",Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2017,1,Waste,Solid Waste,, -   ,Lane Cove,Eastern Harbour City,Six Cities,14700
2017,1,Waste,Solid Waste,," 9,506 ",Leeton,Riverina Murray,Regional,14750
2017,1,Waste,Solid Waste,," 42,341 ",Lismore,North Coast,Regional,14850
2017,1,Waste,Solid Waste,, -   ,Lithgow,Central West and Orana,Regional,14870
2017,1,Waste,Solid Waste,, -   ,Liverpool,Western Parkland City,Six Cities,14900
2017,1,Waste,Solid Waste,," 4,631 ",Liverpool Plains,New England North West,Regional,14920
2017,1,Waste,Solid Waste,," 1,409 ",Lockhart,Riverina Murray,Regional,14950
2017,1,Waste,Solid Waste,," 32,939 ",Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2017,1,Waste,Solid Waste,," 63,984 ",Mid-Coast,Upper Hunter,Regional,15240
2017,1,Waste,Solid Waste,," 25,086 ",Mid-Western Regional,Central West and Orana,Regional,15270
